dutyAddr,dutyEmcls,dutyEmclsName,dutyName,dutyTel1,dutyTel3,hpid,phpid,rnum,wgs84Lat,wgs84Lon
인천광역시 강화군 강화읍 충렬사로 31,G007,지역응급의료기관,비에스종합병원,032-290-0001,032-290-0119,A1403617,A1403617,160,37.73605305,126.485707
부산광역시 수영구 수영로 615 (광안동),G006,지역응급의료센터,비에이치에스한서병원,051-756-0081,051-998-1119,A1200007,A1200007,161,35.16104606,129.1128811
부산광역시 동래구 충렬대로 455 (안락동),G009,응급실운영신고기관,빌리브세웅병원,051-500-1100,051-500-1119,A1206845,A1206845,162,35.19593283,129.1082119
전라남도 나주시 정보화길 49-0 (빛가람동),G007,지역응급의료기관,빛가람종합병원,061-820-0820,061-820-0909,A2602211,A2602211,163,35.02420484,126.7987474
광주광역시 남구 덕남길 80 (덕남동),G009,응급실운영신고기관,빛고을전남대학교병원,1899-0000,,A1500078,A1500078,164,35.09447963,126.8963843
"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",G009,응급실운영신고기관,사랑의병원,02-880-0114,02-880-0119,A1100148,A1100148,165,37.47962478,126.9562858
경상남도 산청군 산청읍 중앙로 97,G007,지역응급의료기관,산청군보건의료원,055-970-7500,055-970-7582,E2800380,E2800380,166,35.41604632,127.8841959
"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",G006,지역응급의료센터,삼성서울병원,02-3410-2114,02-3410-2060,A1100010,A1100010,167,37.48851613,127.0866825
경상남도 합천군 합천읍 대야로 876,G007,지역응급의료기관,삼성합천병원,055-933-2200,070-5125-5030,A2800055,A2800055,168,35.56635668,128.1632717
부산광역시 서구 대티로 170 (서대신동2가),G007,지역응급의료기관,삼육부산병원,051-242-9751,051-600-7750,A1200021,A1200021,169,35.11177721,129.0107498
서울특별시 동대문구 망우로 82 (휘경동),G006,지역응급의료센터,삼육서울병원,02-2244-0191,02-2210-3566,A1100021,A1100021,170,37.587992,127.0653288
"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",G007,지역응급의료기관,삼일병원,053-659-3100,053-659-3119,A1300045,A1300045,171,35.83274795,128.5538551
"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",G007,지역응급의료기관,삼천포제일병원,055-833-4400,055-830-3099,A2800101,A2800101,172,34.93753929,128.0795128
광주광역시 서구 상무자유로 181-7 (치평동),G007,지역응급의료기관,상무병원,062-600-7000,062-600-7119,A1500022,A1500022,173,35.15242291,126.8539184
경상북도 상주시 상서문로 53 (남성동),G007,지역응급의료기관,상주적십자병원,054-534-3501,054-530-3171,A2700011,A2700011,174,36.41464078,128.1556012
충청남도 금산군 금산읍 비단로 183,G009,응급실운영신고기관,새금산병원,041-754-8272,041-754-8053,A2400019,A2400019,175,36.10403153,127.4962012
경상남도 통영시 무전7길 192 (무전동),G007,지역응급의료기관,새통영병원,055-646-6000,055-640-4119,A2800092,A2800092,176,34.86535759,128.4206526
광주광역시 서구 금화로59번길 6 (금호동),G006,지역응급의료센터,서광병원,062-600-8000,062-600-8119,A1500020,A1500020,177,35.13256833,126.8555271
충청남도 서산시 수석산업로 5 (수석동),G006,지역응급의료센터,서산중앙병원,041-661-1000,041-661-1195,A2400003,A2400003,178,36.78101237,126.5034218
서울특별시 종로구 대학로 101 (연건동),G001,권역응급의료센터,서울대학교병원,02-1588-5700,02-2072-2475,A1100017,A1100017,179,37.57966609,126.9989631
서울특별시 종로구 대학로 101 (연건동),G009,응급실운영신고기관,서울대학교치과병원,1522-2700,02-6256-3362,A1107402,A1107402,180,37.58045239,126.9971964
"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",G007,지역응급의료기관,서울산보람병원,052-255-7114,052-255-7119,A1700001,A1700001,181,35.55991148,129.120713
"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",G007,지역응급의료기관,서울성심병원,02-966-1616,02-966-1616,A1100050,A1100050,182,37.58419129,127.0498381
"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",G007,지역응급의료기관,서울적십자병원,02-2002-8000,02-2002-8888,A1100029,A1100029,183,37.56715536,126.9669986
서울특별시 동대문구 무학로 124 (용두동),G007,지역응급의료기관,서울특별시동부병원,02-920-9114,02-920-9119,A1100022,A1100022,184,37.57539886,127.0314026
서울특별시 동작구 보라매로5길 20 (신대방동),G006,지역응급의료센터,서울특별시보라매병원,02-870-2114,02-870-2119,A1100040,A1100040,185,37.4937184,126.9240488
서울특별시 양천구 신정이펜1로 20 (신정동),G007,지역응급의료기관,서울특별시서남병원,1566-6688,02-6300-9129,A1100223,A1100223,186,37.51201936,126.8331299
서울특별시 중랑구 신내로 156 (신내동),G001,권역응급의료센터,서울특별시서울의료원,02-2276-7000,02-2276-7000,A1100035,A1100035,187,37.61286932,127.0980911
"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",G009,응급실운영신고기관,서울현대병원,02-1588-6853,02-902-9119,A1100172,A1100172,188,37.64025592,127.0285044
광주광역시 서구 무진대로 975 (광천동),G009,응급실운영신고기관,선한병원,062-466-1000,062-466-1119,A1502006,A1502006,189,35.16155167,126.8870269
전라남도 순천시 순광로 221 (조례동),G001,권역응급의료센터,성가롤로병원,061-720-2000,061-720-6119,A2600019,A2600019,190,34.96342524,127.5423089
"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",G006,지역응급의료센터,성남시의료원,031-738-7000,031-738-7300,A2116806,A2116806,191,37.44498429,127.139057
경기도 성남시 중원구 산성대로476번길 12 (금광동),G007,지역응급의료기관,성남중앙병원,031-743-3000,031-799-5599,A2100011,A2100011,192,37.45280321,127.1620954
"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",G009,응급실운영신고기관,성모윌병원,031-751-2075,1833-5001,A2115807,A2115807,193,37.43444739,127.1282853
서울특별시 강동구 성안로 150 (길동),G006,지역응급의료센터,성심의료재단강동성심병원,02-2224-2114,02-2224-2358,A1100028,A1100028,194,37.53598408,127.1352635
"경기도 평택시 안중읍 안현로서6길 16, 성심중앙병원",G009,응급실운영신고기관,성심중앙병원,031-681-1119,031-681-1119,A2100255,A2100255,195,36.98400219,126.92773248728593
"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",G006,지역응급의료센터,성애의료재단성애병원,02-840-7114,02-840-7115,A1100054,A1100054,196,37.51205045,126.9223673
경상북도 성주군 성주읍 성주읍3길 5-3,G009,응급실운영신고기관,성주무강병원,054-932-1212,054-932-1909,A2700030,A2700030,197,35.91869489,128.2866997
서울특별시 종로구 통일로 256 (무악동),G007,지역응급의료기관,세란병원,02-737-0181,02-737-0181,A1100032,A1100032,198,37.57534017,126.9577072
부산광역시 금정구 서동로 162 (서동),G009,응급실운영신고기관,세웅병원,051-500-9700,051-500-9671,A1200081,A1200081,199,35.21442476,129.1040828
"부산광역시 동구 중앙대로 317 (초량동, 세일병원)",G009,응급실운영신고기관,세일병원,051-464-8110,051-460-5277,A1200111,A1200111,200,35.12484866,129.0445942
"경기도 여주시 청심로 39, 세종여주병원 (하동)",G007,지역응급의료기관,세종여주병원,031-880-7700,031-880-7754,A2100194,A2100194,201,37.3013258,127.6267202
"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",G006,지역응급의료센터,세종충남대학교병원,1800-3114,044-995-3010,A1800441,A1800441,202,36.51951336,127.2579427
"광주광역시 광산구 송도로 232 (송정동, 송정사랑병원)",G009,응급실운영신고기관,송정사랑병원,062-949-9000,062-949-9119,A1500071,A1500071,203,35.1342118,126.79736841847565
경기도 수원시 권선구 권선로 654 (권선동),G009,응급실운영신고기관,수원중앙병원,031-229-9777,031-229-9888,A2100206,A2100206,204,37.25991334,127.0228408
전북특별자치도 순창군 순창읍 교성로 135 (순창군보건의료원),G007,지역응급의료기관,순창군보건의료원,063-650-5321,063-650-5352,E2500021,E2500021,205,35.3670363,127.1436672
"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",G007,지역응급의료기관,순천의료재단성남정병원,031-750-6000,031-750-6003,A2100016,A2100016,206,37.43962497,127.1286392
전라남도 순천시 기적의도서관1길 3 (조례동),G007,지역응급의료기관,순천제일병원,061-720-3413,061-720-3800,A2600008,A2600008,207,34.9542246,127.5238565
전라남도 순천시 장명로 5 (장천동),G007,지역응급의료기관,순천중앙병원,061-743-9021,061-749-5119,A2600004,A2600004,208,34.95165645,127.4844113
서울특별시 용산구 대사관로 59 (한남동),G006,지역응급의료센터,순천향대학교 부속 서울병원,02-709-9114,02-709-9117,A1100004,A1100004,209,37.53384172,127.004418
"경상북도 구미시 1공단로 179 (공단동, (공단동))",G006,지역응급의료센터,순천향대학교부속구미병원,054-468-9114,054-468-9119,A2700013,A2700013,210,36.10286858,128.3826548
"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",G001,권역응급의료센터,순천향대학교부속부천병원,032-621-5114,032-621-5117,A2100005,A2100005,211,37.49857073,126.7623824
경상남도 함안군 칠원읍 용산2길 45-13,G009,응급실운영신고기관,시영의료재단 영동병원,055-586-2000,055-586-2000,A2800138,A2800138,212,35.30898264,128.5155436
광주광역시 광산구 목련로 316 (신가동),G007,지역응급의료기관,신가병원,062-610-8702,062-610-8119,A1500006,A1500006,213,35.17761944,126.829800000000006
"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",G009,응급실운영신고기관,신촌연세병원,02-337-7582,02-337-7582,A1100063,A1100063,214,37.55258927,126.9337347
"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",G009,응급실운영신고기관,씨엠병원,02-2678-0001,070-4698-7811,A1100045,A1100045,215,37.51884833,126.9036798
충청남도 아산시 문화로 381 (모종동),G006,지역응급의료센터,아산충무병원,041-536-6666,041-536-6519,A2402257,A2402257,216,36.7792925,127.0199489
경기도 수원시 영통구 월드컵로 164 (원천동),G001,권역응급의료센터,아주대학교병원,031-219-5114,031-219-7777,A2100002,A2100002,217,37.27944776,127.0475211
경상북도 안동시 서동문로 99 (금곡동),G006,지역응급의료센터,안동성소병원,054-857-2321,054-850-8282,A2700004,A2700004,218,36.56712693,128.72245351866203
경기도 안성시 시장길 58 (서인동),G007,지역응급의료기관,안성성모병원,031-675-6007,031-675-8275,A2100305,A2100305,219,37.00610346,127.2708443
"인천광역시 부평구 부평대로 175 (청천동, 세림병원)",G006,지역응급의료센터,안은의료재단 부평세림병원,032-509-5555,032-509-5777,A1400013,A1400013,220,37.50684251,126.7199468
경상남도 양산시 물금읍 금오로 20,G001,권역응급의료센터,양산부산대학교병원,055-360-1000,055-360-1463,A2800011,A2800011,221,35.32781997,129.0058861
경기도 양주시 회정로 103 (덕정동),G009,응급실운영신고기관,양주예쓰병원,031-825-5000,031-825-1119,A2100134,A2100134,222,37.83756356,127.0646389
경기도 양평군 양평읍 중앙로 129,G007,지역응급의료기관,양평병원,031-770-5000,031-770-5119,A2100089,A2100089,223,37.49396264,127.5034709
"경상북도 포항시 남구 희망대로 352 (이동, 에스포항병원)",G007,지역응급의료기관,에스포항병원,054-289-9000,054-289-9120,A2700008,A2700008,224,36.0348229,129.3314003
경기도 가평군 설악면 미사리로 267-177,G009,응급실운영신고기관,에이치제이매그놀리아국제병원,031-589-4300,031-589-4465,A2100282,A2100282,225,37.69104513,127.5214132
"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",G007,지역응급의료기관,엘병원,1899-3377,031-527-6119,A2118188,A2118188,226,37.64873349,127.1410487
"전라남도 여수시 좌수영로 49 (광무동, 전남병원)",G007,지역응급의료기관,여수전남병원,061-640-7575,061-640-7118,A2600010,A2600010,227,34.7450192,127.7280841
전라남도 여수시 여천체육공원길 10 (신기동),G009,응급실운영신고기관,여수한국병원,061653-2000,061-689-9119,A2601742,A2601742,228,34.76124318,127.6750954
"전라남도 여수시 무선로 95 (선원동, (선원동))",G006,지역응급의료센터,여천전남병원,061-690-6000,061-690-6118,A2600014,A2600014,229,34.76918041,127.6540427
"강원특별자치도 원주시 일산로 20-0 (일산동, (일산동))",G001,권역응급의료센터,연세대학교원주세브란스기독병원,033-741-0114,033-741-1641,A2200001,A2200001,230,37.34795543,127.9456453
"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",G006,지역응급의료센터,연세대학교의과대학강남세브란스병원,02-2019-3114,02-2019-3333,A1100015,A1100015,231,37.49280698,127.04631254186797
서울특별시 서대문구 연세로 50-1 (신촌동),G006,지역응급의료센터,연세대학교의과대학세브란스병원,02-2228-0114,02-2227-7777,A1100007,A1100007,232,37.56211711,126.9408277
경기도 용인시 기흥구 동백죽전대로 363 (중동),G006,지역응급의료센터,연세대학교의과대학용인세브란스병원,1899-1004,031-5189-9001,A2100020,A2100020,233,37.27077583,127.1481886
경기도 여주시 영릉로 22 (창동),G009,응급실운영신고기관,연세새로운병원,031-885-7582,031-885-7582,A2100173,A2100173,234,37.28987165,127.6328795
경상남도 창원시 진해구 해원로32번길 13 (이동),G007,지역응급의료기관,연세에스병원,055-548-7700,055-548-7789,A2800021,A2800021,235,35.1547321,128.6983353
경기도 연천군 전곡읍 은대성로 95,G007,지역응급의료기관,연천군보건의료원,031-839-4001,031-839-4119,E2100187,E2100187,236,38.02374167,127.0612444
"전라남도 영광군 영광읍 와룡로 3,",G007,지역응급의료기관,영광종합병원,061-350-8000,061-350-8129,A2600015,A2600015,237,35.28418362,126.4989403
대구광역시 남구 현충로 170 (대명동),G001,권역응급의료센터,영남대학교병원,053-623-8001,053-620-3177,A1300001,A1300001,238,35.84750592,128.5851312
경상북도 영천시 오수1길 10 (오수동),G007,지역응급의료기관,영남대학교의과대학부속영천병원,0543389000,054-330-7575,A2700017,A2700017,239,35.95732074,128.9130533
경상북도 영덕군 영해면 영덕로 1621,G009,응급실운영신고기관,영덕아산병원,054-730-0152,054-730-0119,A2700073,A2700073,240,36.52464785,129.4022978
부산광역시 영도구 태종로 85 (대교동2가),G007,지역응급의료기관,영도병원,051-414-8101,051-419-7575,A1200014,A1200014,241,35.0922712,129.0405371
전라남도 영암군 영암읍 오리정길 8,G007,지역응급의료기관,영암한국병원,061-470-7100,061-470-7118,A2600070,A2600070,242,34.79434132,126.70116990992957
경상북도 영주시 구성로 380 (영주동),G007,지역응급의료기관,영주기독병원,054-635-6161,054-635-3050,A2700031,A2700031,243,36.82516127,128.6211481
경상북도 영주시 대동로31번길 9 (가흥동),G007,지역응급의료기관,영주자인병원,054-633-1131,070-7335-5229,A2700020,A2700020,244,36.81594745,128.6056104
"경상북도 영주시 대학로 327-0 (가흥동,영주적십자병원)",G007,지역응급의료기관,영주적십자병원,054-630-0100,054-630-0112,A2702752,A2702752,245,36.82525797,128.6040035
충청남도 예산군 예산읍 신례원로 26,G009,응급실운영신고기관,예산명지병원,041-335-2255,041-335-5166,A2400015,A2400015,246,36.71373026,126.8341696
경기도 오산시 밀머리로1번길 16 (원동),G006,지역응급의료센터,오산한국병원,031-379-8300,031-378-5119,A2100024,A2100024,247,37.14122845,127.0753376
충청북도 청주시 청원구 오창읍 중부로 683,G009,응급실운영신고기관,오창중앙병원,043-218-0119,043-218-0119,A2300021,A2300021,248,36.70680258,127.4296518
인천광역시 서구 완정로 199 (왕길동),G007,지역응급의료기관,온누리병원,032-567-6200,032-568-9112,A1400005,A1400005,249,37.60280557,126.6543087
"전라남도 완도군 노화읍 노화로 813, 노화보건지소",G009,응급실운영신고기관,완도군노화읍보건지소,061-550-6800,,E2600362,E2600362,250,34.17730585,126.5709379
전라남도 완도군 완도읍 청해진동로 63,G007,지역응급의료기관,완도대성병원,061-553-1234,061-554-9500,A2600032,A2600032,251,34.31716999,126.73556371420687
서울특별시 강서구 하늘길 70 (과해동),G009,응급실운영신고기관,우리들병원,02-2660-7500,02-2660-7057,A1100042,A1100042,252,37.56199597,126.7963653
광주광역시 북구 북문대로 191 (운암동),G007,지역응급의료기관,운암한국병원,062-608-8000,062-608-8119,A1500010,A1500010,253,35.18513334,126.8695698
경상북도 울릉군 울릉읍 울릉순환로 396-18,G007,지역응급의료기관,울릉군보건의료원,054-790-6871,054-790-6911,E2700553,E2700553,254,37.48588602,130.8994771
울산광역시 남구 월평로171번길 13 (신정동),G006,지역응급의료센터,울산병원,052-259-5000,052-259-5119,A1700003,A1700003,255,35.54621708,129.3230996
울산광역시 북구 호계로 285 (호계동),G009,응급실운영신고기관,울산엘리야병원,052-290-2100,052-290-2119,A1700007,A1700007,256,35.62891129,129.3506301
경상북도 울진군 울진읍 현내항길 71,G007,지역응급의료기관,울진군의료원,054-785-7000,054-785-7119,A2700052,A2700052,257,36.99264956,129.4094916
전북특별자치도 익산시 무왕로 895 (신동),G001,권역응급의료센터,원광대학교병원,063-859-1114,063-859-1165,A2500001,A2500001,258,35.96424196,126.9593063
경기도 군포시 산본로 321 (산본동),G006,지역응급의료센터,원광대학교산본병원,031-390-2300,031-390-2345,A2100048,A2100048,259,37.35978718,126.9333072
경기도 남양주시 화도읍 경춘로 1943-16,G009,응급실운영신고기관,원병원,031-590-3114,031-5903-1189,A2100208,A2100208,260,37.65195717,127.30437739416751
강원특별자치도 원주시 소초면 치악로 2473,G009,응급실운영신고기관,원주성모병원,033-741-5000,033-741-5119,A2200030,A2200030,261,37.39364611,127.9845808
경기도 구리시 건원대로 47 (인창동),G009,응급실운영신고기관,윤서병원,031-553-6650,031-564-2222,A2100116,A2100116,262,37.60519853,127.1396114
서울특별시 은평구 연서로 177 (갈현동),G009,응급실운영신고기관,은평연세병원,02-388-8114,02-388-0119,A1100152,A1100152,263,37.61469222,126.9174722
경상북도 경산시 경안로 11 (백천동),G007,지역응급의료기관,의)근원의료재단경산중앙병원,053-715-0100,053-715-0119,A2700019,A2700019,264,35.80882731,128.7401573
경상남도 의령군 의령읍 의병로14길 10,G007,지역응급의료기관,의령병원,055-573-4100,055-573-6806,A2800090,A2800090,265,35.31860563,128.2586798
부산광역시 강서구 녹산산단321로 24-8 (송정동),G009,응급실운영신고기관,의료법인 갑을의료재단 갑을녹산병원,051-974-8300,051-974-8414,A1200139,A1200139,266,35.09057381,128.8533209
전라남도 영광군 영광읍 신남로 265,G007,지역응급의료기관,의료법인 거명의료재단 영광기독병원,061-350-3000,061-350-3080,A2600034,A2600034,267,35.27495936,126.5108759
경상남도 거제시 계룡로5길 14 (상동동),G007,지역응급의료기관,의료법인 거붕 백병원,055-733-0000,055-733-0180,A2800008,A2800008,268,34.87367581,128.626057
"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",G007,지역응급의료기관,의료법인 광혜의료재단 광혜병원,051-503-2111,051-504-2119,A1200009,A1200009,269,35.20703333,129.071136111111116
"인천광역시 남동구 남동대로774번길 21 (구월동, 가천대학교길병원)",G001,권역응급의료센터,의료법인 길의료재단 길병원,032-460-3548,032-460-3012,A1400001,A1400001,270,37.45208025,126.7091617
"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",G006,지역응급의료센터,의료법인 나사렛의료재단 나사렛국제병원,032-899-9999,032-899-9699,A1400011,A1400011,271,37.40799111,126.6704694
"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",G006,지역응급의료센터,의료법인 남촌의료재단 시화병원,031-1811-7000,031-5189-0576,A2100008,A2100008,272,37.34995564,126.736971
"인천광역시 서구 원적로 23 (가좌동, 원적로 27번길 11(가좌동))",G006,지역응급의료센터,의료법인 루가의료재단 나은병원,032-584-0114,032-584-4119,A1400003,A1400003,273,37.48905341,126.6794507
"경상남도 진주시 동진로 2 (칠암동, 진주고려병원)",G007,지역응급의료기관,의료법인 문병욱의료재단 진주고려병원,055-751-2500,055-751-2525,A2800015,A2800015,274,35.17849132,128.0922386
경상남도 진주시 동진로 7 (칠암동),G009,응급실운영신고기관,의료법인 바른의료재단 바른병원,055-790-3000,055-790-3651,A2800045,A2800045,275,35.17920816,128.0917048
경상남도 거제시 연초면 거제대로 4477,G007,지역응급의료기관,의료법인 성념의료재단맑은샘병원,055-736-1004,055-736-0119,A2800022,A2800022,276,34.89793483,128.6437178
인천광역시 동구 샛골로 214 (송림동),G007,지역응급의료기관,의료법인 성수의료재단 인천백병원,032-765-7070,032-280-8119,A1400007,A1400007,277,37.47725814,126.6485041
부산광역시 수영구 수영로679번길 8 (광안동),G007,지역응급의료기관,의료법인 센텀의료재단 센텀종합병원,051-750-5000,051-750-5119,A1200098,A1200098,278,35.16637129,129.1146683
"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",G007,지역응급의료기관,의료법인 영제 의료재단 엔케이세종병원,044-850-7700,044-850-7705,A1800417,A1800417,279,36.47962251,127.2622562
"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",G006,지역응급의료센터,의료법인 온그룹의료재단 온병원,051-607-0114,051-607-0139,A1200020,A1200020,280,35.15787736,129.0499844
부산광역시 수영구 수영로 493 (남천동),G007,지역응급의료기관,의료법인 은성의료재단 좋은강안병원,051-625-0900,051-610-9119,A1200008,A1200008,281,35.15015906,129.1107243
경상남도 남해군 남해읍 화전로 169,G007,지역응급의료기관,의료법인 이도의료재단 남해병원,055-863-2201,055-860-6630,A2800094,A2800094,282,34.84640603,127.8942516
부산광역시 북구 만덕대로 59 (덕천동),G007,지역응급의료기관,의료법인 인당의료재단 부민병원,051-330-3000,051-330-3129,A1200006,A1200006,283,35.21191432,129.01121232860873
"부산광역시 해운대구 해운대로 584, 해운대 부민병원 지하4~지상13층 (우동)",G007,지역응급의료기관,의료법인 인당의료재단 해운대부민병원,051-602-8000,051-602-8119,A1205143,A1205143,284,35.16142041,129.1556561
부산광역시 영도구 태종로 133 (봉래동3가),G007,지역응급의료기관,의료법인 행도의료재단 해동병원,051-412-6161,051-410-6688,A1200012,A1200012,285,35.09194298,129.0438643
제주특별자치도 제주시 서광로 193 (삼도일동),G007,지역응급의료기관,의료법인 혜인의료재단 한국병원,064-750-0000,064-750-0160,A2900003,A2900003,286,33.50018592,126.5169887
경기도 평택시 송탄로 33 (장당동),G007,지역응급의료기관,의료법인갈렌의료재단박병원,031-666-2600,031-662-4119,A2100309,A2100309,287,37.0482647,127.0570039
경상남도 김해시 장유로 167-13 (부곡동),G007,지역응급의료기관,의료법인갑을의료재단갑을장유병원,055-310-6000,055-310-6119,A2800014,A2800014,288,35.20866716,128.805643
강원특별자치도 강릉시 강릉대로419번길 42 (포남동),G006,지역응급의료센터,의료법인강릉동인병원,033-650-6113,033-650-6105,A2200005,A2200005,289,37.77432579,128.9071418
충청북도 진천군 진천읍 중앙북로 36-0 (진천성모병원),G007,지역응급의료기관,의료법인건명의료재단중앙제일병원,043-533-1711,043-537-9119,A2300013,A2300013,290,36.85848748,127.4405079
대구광역시 달서구 감삼북길 141 (감삼동),G007,지역응급의료기관,의료법인구의료재단구병원,053-560-9114,053-557-7119,A1300006,A1300006,291,35.85082314,128.54148303217695
경기도 수원시 팔달구 중부대로 165 (우만동),G006,지역응급의료센터,의료법인녹산의료재단동수원병원,031-210-0114,031-210-0119,A2100009,A2100009,292,37.27816562,127.0343638
충청북도 괴산군 괴산읍 임꺽정로 116-0 (괴산성모병원),G007,지역응급의료기관,의료법인대광의료재단괴산성모병원,043-830-5400,043-830-5419,A2300034,A2300034,293,36.81544388,127.7842463
경상북도 청도군 화양읍 청화로 79-7,G007,지역응급의료기관,의료법인대남의료재단청도대남병원,054-373-0606,054-370-5112,A2700038,A2700038,294,35.64871262,128.7371132
전북특별자치도 익산시 무왕로 969 (신동),G006,지역응급의료센터,의료법인대산의료재단익산병원,063-840-9114,063-840-9112,A2500011,A2500011,295,35.96168123,126.9664997
경상남도 거제시 두모길 16 (두모동),G007,지역응급의료기관,의료법인대우의료재단대우병원,055-680-8114,055-680-8119,A2800005,A2800005,296,34.87222152,128.7221642
"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",G007,지역응급의료기관,의료법인대인의료재단다니엘종합병원,032-670-0001,032-670-0119,A2100050,A2100050,297,37.51232156,126.7694889
경상북도 김천시 신음1길 12 (신음동),G006,지역응급의료센터,의료법인덕산의료재단김천제일병원,054-420-9300,054-420-9500,A2700012,A2700012,298,36.135342,128.1188238
울산광역시 중구 태화로 239 (태화동),G006,지역응급의료센터,의료법인동강의료재단동강병원,052-241-1114,052-241-1190,A1700002,A1700002,299,35.55340951,129.3019429
"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",G009,응급실운영신고기관,의료법인동강의료재단동천동강병원,052-702-3114,052-702-3456,A1701489,A1701489,300,35.56854603,129.350478
"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",G007,지역응급의료기관,의료법인동신의료재단동신병원,02-396-9161,02-396-9161,A1100025,A1100025,301,37.58110428,126.9365831
경상북도 문경시 당교3길 25 (모전동),G006,지역응급의료센터,의료법인동춘의료재단문경제일병원,054-550-7700,054-550-7777,A2700006,A2700006,302,36.58482144,128.1897715
"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",G007,지역응급의료기관,의료법인동해동인병원,033-530-0114,033-530-0129,A2200003,A2200003,303,37.53000681,129.1074043
"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",G007,지역응급의료기관,의료법인록향의료재단신천연합병원,031-310-6300,031-310-6661,A2100013,A2100013,304,37.44454606,126.7893839
경상북도 영양군 영양읍 동서대로 75,G009,응급실운영신고기관,의료법인명성의료재단영양병원,054-682-0727,054-682-3866,A2700026,A2700026,305,36.66257764,129.1173135
경기도 수원시 권선구 호매실로90번길 98 (호매실동),G006,지역응급의료센터,의료법인명인의료재단화홍병원,031-278-0119,031-8021-6829,A2117135,A2117135,306,37.26014275,126.9638917
"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",G006,지역응급의료센터,의료법인명지의료재단명지병원,043-640-8114,043-640-8117,A2300009,A2300009,307,37.16300576,128.23405656001105
경기도 고양시 덕양구 화수로14번길 55 (화정동),G001,권역응급의료센터,의료법인명지의료재단명지병원,031-810-5114,031-810-7119,A2100042,A2100042,308,37.64207169,126.8314573
전라남도 목포시 영산로 627 (석현동),G006,지역응급의료센터,의료법인목포구암의료재단목포중앙병원,061-280-3000,061-280-3119,A2600017,A2600017,309,34.82080732,126.4213809
경기도 평택시 평택2로20번길 3 (평택동),G007,지역응급의료기관,의료법인박애의료재단박애병원,031-652-2121,031-650-9219,A2100022,A2100022,310,36.99308383,127.089079
경기도 평택시 중앙로 338 (합정동),G006,지역응급의료센터,의료법인백송의료재단굿모닝병원,031-5182-7700,031-5182-7582,A2100028,A2100028,311,36.99057342,127.1204637
충청남도 논산시 시민로294번길 14 (취암동),G006,지역응급의료센터,의료법인백제병원,041-733-2191,041-730-8888,A2400009,A2400009,312,36.19250243,127.09436976296005
대구광역시 동구 국채보상로 769 (신천동),G009,응급실운영신고기관,의료법인백천의료재단바로본병원,1644-8575,053-721-8549,A1300033,A1300033,313,35.86845464,128.6151837
강원특별자치도 속초시 중앙로 11 (교동),G007,지역응급의료기관,의료법인보광의료재단속초보광병원,033-639-8500,033-639-8988,A2200046,A2200046,314,38.19802125,128.5783866
경상북도 상주시 냉림서성길 7 (냉림동),G007,지역응급의료기관,의료법인삼백의료재단상주성모병원,054-532-5001,054-530-7811,A2700009,A2700009,315,36.42029126,128.1597334
전라남도 보성군 벌교읍 남하로 12,G007,지역응급의료기관,의료법인삼호의료재단벌교삼호병원,061-859-5000,061-859-5119,A2600066,A2600066,316,34.83384675,127.3457323
경상북도 경산시 경안로 208 (중방동),G007,지역응급의료기관,의료법인서명의료재단세명종합병원,053-819-8803,053-819-8500,A2700036,A2700036,317,35.82621911,128.7374074
